vestigings_id,brin,vestigingsnummer,school_name,street,house_no,house_add,postcode,city,province,municipality,municipality_code,phone_formatted,website,has_website,board,board_code,denomination,corop,rmc_regio,onderwijsgebied,vacation_region,education_structure,levels_offered,languages,PRO,VMBO,MAVO,HAVO,VWO,BRUGJAAR,enrollment_total,school_size_category,students_per_grade,latitude,longitude
03WO01,03WO,1,Van Lodensteincollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo,Zuiderinslag,,1,3871MR,HOEVELAKEN,Gelderland,NIJKERK,267,033-2535846,www.vanlodenstein.nl,True,,41769,Bijzonder,Veluwe,Eem en Vallei,Harderwijk-Amersfoort,Midden,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,5270.0,Very Large,878.3333333333334,52.1693188,5.4479844
17IM02,17IM,2,Over Betuwe College voor Ath Havo Mavo Vbo Lwoo,Julianastraat,,17,6851KJ,HUISSEN,Gelderland,LINGEWAARD,1705,026-3263222,ww.overbetuwecollege.nl,True,,41440,Bijzonder,Arnhem/Nijmegen,Arnhem,Oostelijk Maas-Waalgebied,Zuid,VBO,VMBO,Dutch,False,True,False,False,False,False,4535.0,Very Large,755.8333333333334,51.9352342,5.9354715
16YV04,16YV,4,Regionale Scholengemeenschap Pantarijn voor Lyc Havo Mavo Vbo Pro Lwoo,Vicuslaan,,2,4041ZA,KESTEREN,Gelderland,NEDER-BETUWE,1740,048-8481492,www.pantarijn.nl,True,,13693,Openbaar,Zuidwest-Gelderland,Rivierenland,Oostelijk Maas-Waalgebied,Midden,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,1620.0,Large,270.0,51.9287785,5.5722198
16YV11,16YV,11,Regionale Scholengemeenschap Pantarijn voor Lyc Havo Mavo Vbo Pro Lwoo,Tollenhof,,1,4041BH,KESTEREN,Gelderland,NEDER-BETUWE,1740,,,False,,13693,Openbaar,Zuidwest-Gelderland,Rivierenland,Oostelijk Maas-Waalgebied,Midden,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,,Unknown,,51.9339734,5.5673644
03WO02,03WO,2,Van Lodensteincollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo,Kasteelstraat,,2,4041JB,KESTEREN,Gelderland,NEDER-BETUWE,1740,048-8481206,www.vanlodenstein.nl,True,,41769,Bijzonder,Zuidwest-Gelderland,Rivierenland,Oostelijk Maas-Waalgebied,Midden,VBO/MAVO/HAVO,"VMBO, MAVO, HAVO",Dutch,False,True,True,True,False,False,7025.0,Very Large,1170.8333333333333,51.938216,5.5737611
01OE49,01OE,49,Yuverta,Industrieweg,,4,4041CR,KESTEREN,Gelderland,NEDER-BETUWE,1740,048-8481310,yuverta.nl/vmbokesteren,True,,41100,Bijzonder,Zuidwest-Gelderland,Rivierenland,Oostelijk Maas-Waalgebied,Midden,VBO,VMBO,Dutch,False,True,False,False,False,False,,Unknown,,51.9326709,5.590183
30AU00,30AU,0,Citadel College voor vwo havo mavo vbo en lwoo,Dijkstraat,,6,6663AD,LENT,Gelderland,NIJMEGEN,268,024-3297740,www.citadelcollege.nl,True,,41285,Bijzonder,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,2980.0,Large,496.6666666666667,51.8689437,5.8556332
30AU01,30AU,1,Citadel College voor vwo havo mavo vbo en lwoo,Griftdijk Noord,,9-A,6663AA,LENT,Gelderland,NIJMEGEN,268,,,False,,41285,Bijzonder,Arnhem/Nijmegen,Rijk van Nijmegen,Oostelijk Maas-Waalgebied,Zuid,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,5915.0,Very Large,985.8333333333334,51.8692706,5.8542703
02QN02,02QN,2,Rooms Katholieke Scholengemeenschap Marianum voor Lyc Havo Mavo Vbo Lwoo,dr Ariensstraat,,1,7131XM,LICHTENVOORDE,Gelderland,OOST GELRE,1586,054-4477070,,False,,35647,Bijzonder,Achterhoek,Achterhoek,Zuidelijke Achterhoek,Midden,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,4178.0,Very Large,696.3333333333334,51.9829455,6.5707834
24TF00,24TF,0,Staring College Regionale Scholengemeenschap voor Ath Gymn Havo Vmbo,Zutphenseweg,,108,7241SE,LOCHEM,Gelderland,LOCHEM,262,057-3297297,www.staring.nl,True,,40310,Openbaar,Achterhoek,Stedendriehoek,Apeldoorn en midden-IJsselgebied,Midden,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,8174.0,Very Large,1362.3333333333333,52.1509224,6.3911089
