vestigings_id,brin,vestigingsnummer,school_name,street,house_no,house_add,postcode,city,province,municipality,municipality_code,phone_formatted,website,has_website,board,board_code,denomination,corop,rmc_regio,onderwijsgebied,vacation_region,education_structure,levels_offered,languages,PRO,VMBO,MAVO,HAVO,VWO,BRUGJAAR,enrollment_total,school_size_category,students_per_grade
01FP05,01FP,05,"Het Baken Almere, interconfessioneel VO VWO Havo Vmbo loc. Poort Lyceum",Pim Mulierstraat,,102,1362LC,ALMERE,Flevoland,ALMERE,34,036-5238151,www.hetbaken.nl,True,,42620,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,3080.0,Very Large,513.3333333333334
01FP04,01FP,04,"Het Baken Almere, interconfessioneel VO VWO Havo Vmbo loc. Trinitas Gymnasium",Sas van Gentlaan,,6,1324CT,ALMERE,Flevoland,ALMERE,34,036-8452400,www.hetbaken.nl,True,,42620,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VWO,VWO,Dutch,False,False,False,False,True,False,4229.0,Very Large,704.8333333333334
01FP00,01FP,00,"Het Baken Almere, interconfessioneel voortgezet onderwijs VWO Havo Vmbo",Rooseveltweg,,7,1314SJ,ALMERE,Flevoland,ALMERE,34,036-5307207,www.hetbaken.nl,True,,42620,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO/MAVO/HAVO,"VMBO, MAVO, HAVO",Dutch,False,True,True,True,False,False,2933.0,Large,488.8333333333333
24RW04,24RW,04,Montessori Campus 0-18 (voortgezet onderwijs),Rosalind Franklinweg,,4,1341HZ,ALMERE,Flevoland,ALMERE,34,036-5492260,www.montessoricampus.nl,True,,41676,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,3766.0,Very Large,627.6666666666666
24RW00,24RW,00,Oostvaarders College voor Lyceum Havo Mavo Vbo Lwoo,A. Boekenweg,,3,1333VD,ALMERE,Flevoland,ALMERE,34,036-5492492,www.ovc.nl,True,,41676,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,10821.0,Very Large,1803.5
24RW03,24RW,03,Oostvaarders College voor Lyceum Havo Mavo Vbo Lwoolocatie Buitenhout,Ambonstraat,,2,1335JV,ALMERE,Flevoland,ALMERE,34,036-5491600,www.buitenhoutcollege.nl,True,,41676,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO/MAVO,"VMBO, MAVO",Dutch,False,True,True,False,False,False,6666.0,Very Large,1111.0
17DN01,17DN,01,Openbare Scholengemeenschap De Meergronden voor Vwo Havo Mavo Vbo loc. Arte Coll,Oostenrijkstraat,,2,1363CB,ALMERE,Flevoland,ALMERE,34,036-7670700,www.artecollege.nl,True,,41676,Openbaar,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,5343.0,Very Large,890.5
17DN00,17DN,00,Openbare Scholengemeenschap De Meergronden voor Vwo Havo Mavo Vmbo,Marktgracht,,65,1353AL,ALMERE,Flevoland,ALMERE,34,036-5472727,www.meergronden.nl,True,,41676,Openbaar,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,8088.0,Very Large,1348.0
16AW00,16AW,00,Openbare Scholengemeenschap Echnaton,Zwolleweg,,1,1324EL,ALMERE,Flevoland,ALMERE,34,036-5331220,www.echnaton.nl,True,,41676,Openbaar,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO/MAVO/HAVO,"VMBO, MAVO, HAVO",Dutch,False,True,True,True,False,False,7393.0,Very Large,1232.1666666666667
16AW01,16AW,01,Openbare Scholengemeenschap Echnaton locatie Helen Parkhurst,Bongerdstraat,,1,1326AA,ALMERE,Flevoland,ALMERE,34,036-5357000,www.helenparkhurst.nl,True,,41676,Openbaar,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,10452.0,Very Large,1742.0
16AW06,16AW,06,"Openbare Scholengemeenschap Echnaton, locatie Taalcentrum",Walt Disneyplantsoen,,88,1325SX,ALMERE,Flevoland,ALMERE,34,036-7670520,www.taalcentrumalmere.nl,True,,41676,Openbaar,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,BRUGJAAR,BRUGJAAR,Dutch,False,False,False,False,False,True,925.0,Medium,154.16666666666666
28BU00,28BU,00,Praktijkonderwijs Almere - Tom Poes,Tom Poesstraat,,2,1336AE,ALMERE,Flevoland,ALMERE,34,036-5494150,www.proalmere.nl,True,,41676,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,1572.0,Large,262.0
17JI00,17JI,00,Praktijkonderwijs Almere-Bachweg,J.S. Bachweg,,7,1323BA,ALMERE,Flevoland,ALMERE,34,036-5338141,www.proalmere.nl,True,,41676,Openbaar,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,1984.0,Large,330.6666666666667
17JI02,17JI,02,Praktijkonderwijs Almere-Bachweg,Klipgriend,,3,1356GA,ALMERE,Flevoland,ALMERE,34,,,False,,41676,Openbaar,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,,Unknown,
30UD00,30UD,00,Praktijkonderwijs-Almere Koningsbeltweg,Koningsbeltstraat,,4,1329AL,ALMERE,Flevoland,ALMERE,34,036-5336194,www.proalmere.nl,True,,41676,Openbaar,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,PRO,PRO,Dutch,True,False,False,False,False,False,2062.0,Large,343.6666666666667
32GE00,32GE,00,Waldorf Almere,Rooseveltweg,,5,1314SJ,ALMERE,Flevoland,ALMERE,34,064-6446410,www.waldorfalmere.nl,True,,20041,Bijzonder,Flevoland,Flevoland,Harderwijk-Amersfoort,Noord,HAVO,HAVO,Dutch,False,False,False,True,False,False,,Unknown,
01XN11,01XN,11,"Almere College, Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO",Spijkweg,,34,8256RJ,BIDDINGHUIZEN,Flevoland,DRONTEN,303,,,False,,12975,Overige,Flevoland,Flevoland,Zwolle-Meppel en omstreken,Noord,BRUGJAAR,BRUGJAAR,Dutch,False,False,False,False,False,True,,Unknown,
01XN01,01XN,01,Almere College Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO,Educalaan,,8,8251GC,DRONTEN,Flevoland,DRONTEN,303,032-1385050,,False,,12975,Openbaar,Flevoland,Flevoland,Zwolle-Meppel en omstreken,Noord,VBO/MAVO/HAVO/VWO,"VMBO, MAVO, HAVO, VWO",Dutch,False,True,True,True,True,False,5986.0,Very Large,997.6666666666666
